Letter_ID,X,Y,Width,Height
1,3663,18116,29,21
2,3355,18116,18,22
3,2709,18116,20,30
4,2032,18116,9,30
5,3693,18115,20,31
6,3609,18115,18,22
7,3586,18115,20,23
8,3541,18115,20,23
9,3498,18115,18,23
10,3475,18115,20,31
11,3454,18115,18,22
12,3377,18115,19,23
13,3332,18115,20,23
14,3300,18115,20,23
15,2752,18115,19,23
16,2731,18115,18,22
17,2689,18115,18,23
18,2644,18115,21,23
19,2599,18115,21,23
20,2539,18115,20,23
21,2496,18115,19,23
22,2476,18115,18,23
23,2463,18115,12,22
24,2440,18115,20,23
25,2098,18115,20,23
26,2044,18115,20,23
27,2013,18115,20,23
28,2000,18115,12,22
29,1708,18115,18,22
30,1665,18115,19,23
31,1642,18115,20,23
32,1411,18115,20,23
33,1398,18115,12,22
34,3419,18109,10,29
35,2086,18109,11,29
36,3642,18108,19,30
37,3564,18108,18,29
38,3519,18108,18,29
39,3398,18108,18,29
40,3275,18108,22,29
41,3228,18108,20,29
42,3206,18108,20,30
43,3107,18108,23,29
44,3086,18108,19,29
45,3024,18108,20,29
46,2940,18108,23,29
47,2900,18108,25,29
48,2870,18108,27,29
49,2806,18108,20,30
50,2623,18108,19,29
51,2517,18108,18,29
52,2414,18108,23,29
53,2382,18108,12,29
54,2356,18108,21,29
55,2337,18108,12,29
56,2312,18108,20,30
57,2290,18108,19,30
58,2267,18108,20,30
59,2247,18108,12,29
60,2222,18108,19,29
61,2200,18108,19,30
62,2177,18108,20,30
63,2155,18108,20,30
64,2132,18108,20,30
65,2068,18108,18,29
66,1974,18108,23,29
67,1942,18108,11,29
68,1917,18108,19,30
69,1895,18108,19,29
70,1838,18108,55,29
71,1801,18108,23,29
72,1772,18108,25,29
73,1740,18108,18,29
74,1686,18108,18,29
75,1617,18108,24,29
76,1572,18108,28,29
77,1511,18108,27,29
78,1369,18108,27,29
79,3175,18107,28,31
80,3144,18107,28,31
81,3131,18107,11,31
82,3045,18107,12,31
83,2965,18107,36,31
84,2926,18107,12,31
85,2843,18107,26,31
86,2771,18107,12,31
87,2573,18107,23,31
88,2120,18107,11,31
89,1960,18107,12,31
90,1758,18107,12,31
91,1539,18107,29,31
92,1497,18107,12,31
93,1457,18107,27,31
94,1432,18107,13,30
95,3589,18008,12,9
96,18135,18002,19,31
97,17282,18002,20,31
98,16430,18002,20,31
99,15578,18002,19,31
100,14725,18002,20,31
101,13873,18002,20,31
102,13020,18002,20,31
103,12168,18002,20,31
104,11316,18002,19,31
105,10463,18002,20,31
106,9611,18002,20,31
107,8759,18002,19,31
108,7906,18002,20,31
109,7054,18002,20,31
110,6201,18002,20,31
111,5350,18002,20,31
112,4497,18002,19,31
113,3410,17984,427,85
114,14326,17983,144,69
115,14492,17981,44,70
116,14537,17968,380,101
117,14384,17939,20,30
118,14364,17939,12,29
119,14328,17939,19,30
120,14293,17939,21,29
121,14349,17938,11,31
122,14315,17938,12,31
123,3499,17937,20,30
124,3466,17937,20,30
125,3431,17937,21,29
126,3487,17936,12,31
127,3453,17936,12,31
128,14206,17916,83,118
129,3532,17916,119,72
130,16502,17748,22,30
131,16399,17748,20,30
132,14522,17715,20,31
133,13902,17715,20,31
134,16604,17706,75,76
135,16490,17694,20,29
136,16456,17694,20,30
137,16421,17694,21,29
138,16477,17693,12,31
139,16444,17693,11,31
140,6790,17537,1317,20
141,10908,17508,30,12
142,9177,17508,30,12
143,7447,17508,30,12
144,5507,17508,30,12
145,14947,17444,31,20
146,13459,17444,29,20
147,16062,17393,20,30
148,16028,17393,20,30
149,16049,17392,12,31
150,16015,17392,12,31
151,15932,17381,54,54
152,16566,17367,20,30
153,16532,17367,20,30
154,16497,17367,21,29
155,16417,17367,11,29
156,16553,17366,12,31
157,16519,17366,12,31
158,16694,17350,56,66
159,3341,17288,12,30
160,14987,17272,25,363
161,13433,17272,25,363
162,16493,17195,12,30
163,10264,17182,1317,19
164,6790,17182,1317,19
165,15354,17162,12,29
166,15526,17161,19,30
167,15506,17161,11,29
168,15469,17161,20,30
169,15434,17161,21,29
170,15490,17160,12,31
171,15457,17160,11,31
172,10908,17152,30,12
173,9177,17152,30,12
174,7447,17152,30,12
175,5507,17152,30,12
176,15373,17149,54,55
177,16081,17096,56,66
178,15975,17092,20,30
179,15941,17092,20,30
180,15906,17092,21,29
181,15445,17092,19,30
182,15411,17092,19,30
183,15376,17092,21,29
184,15962,17091,12,31
185,15929,17091,11,31
186,15432,17091,11,31
187,15398,17091,12,31
188,16590,17074,12,22
189,16537,17074,29,22
190,16523,17074,12,22
191,16510,17068,11,29
192,16827,17067,20,23
193,16570,17067,18,29
194,16614,17066,20,23
195,16484,17066,24,31
196,16417,17066,26,31
