Symbol_ID,X,Y,Width,Height
1,3432,18116,18,22
2,3324,18108,4,29
3,3060,18108,22,29
4,3002,18108,19,30
5,2784,18108,19,30
6,17964,18041,363,28
7,17111,18041,364,28
8,16259,18041,363,28
9,15406,18041,364,28
10,13702,18041,363,28
11,12849,18041,364,28
12,11997,18041,363,28
13,11145,18041,363,28
14,10292,18041,364,28
15,9440,18041,363,28
16,8587,18041,364,28
17,7735,18041,363,28
18,6883,18041,363,28
19,6030,18041,364,28
20,5179,18041,364,28
21,4326,18041,363,28
22,14194,17937,20,30
23,14351,17756,364,25
24,13731,17756,363,25
25,16430,17743,71,40
26,16076,17580,55,27
27,11999,17537,1317,20
28,10264,17537,1317,20
29,8527,17537,1317,20
30,3825,17537,2628,20
31,12644,17508,30,12
32,4069,17508,30,12
33,13453,17452,8,24
34,3317,17431,7,24
35,15993,17393,21,29
36,15913,17393,11,29
37,16468,17211,8,24
38,16076,17209,55,28
39,12001,17182,1317,19
40,8527,17182,1317,19
41,3825,17182,2628,19
42,12644,17152,30,12
43,4069,17152,30,12
44,16842,17044,10,16
45,16824,17036,25,16
46,15915,17012,71,61
47,15153,16603,970,19
48,8527,16603,1317,19
49,3825,16603,2628,19
50,15617,16573,30,12
51,12644,16573,30,12
52,4069,16573,30,12
53,12001,16569,1382,59
54,11747,16467,87,87
55,10062,16467,59,86
56,8335,16467,60,86
57,6587,16467,59,86
58,16456,16353,20,519
59,18519,16078,9,19
60,18536,15991,29,33
61,15052,15982,1120,20
62,12001,15982,1317,20
63,10264,15982,1317,20
64,8527,15982,1317,20
65,6790,15982,1317,20
66,3825,15982,1957,20
67,15594,15953,30,12
68,12644,15953,30,12
69,4069,15953,30,12
70,18544,15864,60,87
71,5778,15784,102,76
72,17164,15598,1287,20
73,17406,15568,30,12
74,15052,15427,1120,19
75,13662,15427,1121,19
76,10264,15427,1317,19
77,8527,15427,1317,19
78,3825,15427,1957,19
79,15594,15397,30,12
80,12644,15397,30,12
81,4069,15397,30,12
82,16751,15177,20,519
83,16456,15177,20,519
84,17087,15172,30,5
85,17164,14992,1287,20
86,17406,14962,30,12
87,8223,14937,11,29
88,6343,14937,20,30
89,15052,14874,1120,20
90,13662,14874,1121,20
91,10264,14874,1317,20
92,8527,14874,1317,20
93,6790,14874,1317,20
94,3825,14872,1957,21
95,16493,14868,12,30
96,15594,14844,30,12
97,12644,14844,30,12
98,10908,14844,30,12
99,4069,14844,30,12
100,8274,14731,86,86
101,11801,14730,60,85
102,10064,14730,60,85
103,17305,14653,5,21
104,16751,14625,20,518
105,16456,14625,20,518
106,5815,14463,13,13
107,17406,14335,30,12
108,10264,14301,1317,19
109,8527,14301,1317,19
110,6805,14301,1318,19
111,3825,14301,1957,19
112,16493,14295,12,30
113,15594,14271,30,12
114,12644,14271,30,12
115,10908,14271,30,12
116,4069,14271,30,12
117,5778,14064,102,76
118,16751,14051,20,519
119,16456,14051,20,519
120,13662,13716,1121,20
121,15350,13713,519,20
122,14508,13686,30,12
123,15594,13683,30,12
124,8973,13682,60,83
125,10317,13671,23,6
126,8434,13669,28,78
127,10280,13663,23,6
128,3825,13661,1839,20
129,10244,13654,23,6
130,10207,13646,23,6
131,10171,13637,23,6
132,4069,13631,30,12
133,10134,13629,23,6
134,10098,13620,23,6
135,10025,13603,23,6
136,9039,13596,363,28
137,9988,13595,23,6
138,8154,13595,363,54
139,9952,13586,23,6
140,9915,13578,23,6
141,9879,13569,23,6
142,9843,13561,22,6
143,9806,13552,23,6
144,9824,13499,22,11
145,11363,13453,20,16
146,9413,13356,233,135
147,8418,13270,10,56
148,15426,13251,33,33
149,13508,13234,1318,20
150,11931,13234,1318,20
151,9823,13195,22,30
152,9734,13168,22,30
153,9687,13153,20,27
154,7746,13093,24,38
155,3825,13082,1839,20
156,4069,13052,30,12
157,9239,12987,20,27
158,7749,12883,55,28
159,7445,12819,22,49
160,11931,12794,1318,20
161,6957,12765,20,27
162,7082,12750,351,146
163,6524,12747,15,7
164,6458,12712,54,54
165,6001,12672,18,29
166,9841,12602,11,15
167,9791,12602,12,9
168,9817,12594,29,10
169,9758,12578,86,95
170,6969,12536,56,67
171,10098,12480,109,109
172,4069,12474,30,12
173,7416,12392,20,27
174,9112,12356,95,95
175,4839,12333,11,29
176,11060,12261,19,15
177,7048,12229,68,78
178,6694,12223,20,516
179,6264,12223,20,516
180,8133,12174,86,64
181,9773,11971,20,27
182,10186,11948,56,66
183,9860,11945,9,25
184,3825,11924,1839,20
185,4069,11895,30,12
186,8364,11894,67,66
187,11183,11790,34,33
188,8496,11770,20,27
189,7860,11757,20,27
190,7972,11743,94,94
191,7152,11596,90,118
