Symbol_ID,X,Y,Width,Height
1,3663,18116,29,21
2,3432,18116,18,22
3,3355,18116,18,22
4,2709,18116,20,30
5,2032,18116,9,30
6,3693,18115,20,31
7,3609,18115,18,22
8,3586,18115,20,23
9,3541,18115,20,23
10,3498,18115,18,23
11,3475,18115,20,31
12,3454,18115,18,22
13,3377,18115,19,23
14,3332,18115,20,23
15,3300,18115,20,23
16,2752,18115,19,23
17,2731,18115,18,22
18,2689,18115,18,23
19,2644,18115,21,23
20,2599,18115,21,23
21,2539,18115,20,23
22,2496,18115,19,23
23,2476,18115,18,23
24,2463,18115,12,22
25,2440,18115,20,23
26,2098,18115,20,23
27,2044,18115,20,23
28,2013,18115,20,23
29,2000,18115,12,22
30,1708,18115,18,22
31,1665,18115,19,23
32,1642,18115,20,23
33,1411,18115,20,23
34,1398,18115,12,22
35,3419,18109,10,29
36,2086,18109,11,29
37,3642,18108,19,30
38,3564,18108,18,29
39,3519,18108,18,29
40,3398,18108,18,29
41,3324,18108,4,29
42,3275,18108,22,29
43,3228,18108,20,29
44,3206,18108,20,30
45,3107,18108,23,29
46,3086,18108,19,29
47,3060,18108,22,29
48,3024,18108,20,29
49,3002,18108,19,30
50,2940,18108,23,29
51,2900,18108,25,29
52,2870,18108,27,29
53,2806,18108,20,30
54,2784,18108,19,30
55,2623,18108,19,29
56,2517,18108,18,29
57,2414,18108,23,29
58,2382,18108,12,29
59,2356,18108,21,29
60,2337,18108,12,29
61,2312,18108,20,30
62,2290,18108,19,30
63,2267,18108,20,30
64,2247,18108,12,29
65,2222,18108,19,29
66,2200,18108,19,30
67,2177,18108,20,30
68,2155,18108,20,30
69,2132,18108,20,30
70,2068,18108,18,29
71,1974,18108,23,29
72,1942,18108,11,29
73,1917,18108,19,30
74,1895,18108,19,29
75,1838,18108,55,29
76,1801,18108,23,29
77,1772,18108,25,29
78,1740,18108,18,29
79,1686,18108,18,29
80,1617,18108,24,29
81,1572,18108,28,29
82,1511,18108,27,29
83,1369,18108,27,29
84,3175,18107,28,31
85,3144,18107,28,31
86,3131,18107,11,31
87,3045,18107,12,31
88,2965,18107,36,31
89,2926,18107,12,31
90,2843,18107,26,31
91,2771,18107,12,31
92,2573,18107,23,31
93,2120,18107,11,31
94,1960,18107,12,31
95,1758,18107,12,31
96,1539,18107,29,31
97,1497,18107,12,31
98,1457,18107,27,31
99,1432,18107,13,30
100,17964,18041,363,28
101,17111,18041,364,28
102,16259,18041,363,28
103,15406,18041,364,28
104,13702,18041,363,28
105,12849,18041,364,28
106,11997,18041,363,28
107,11145,18041,363,28
108,10292,18041,364,28
109,9440,18041,363,28
110,8587,18041,364,28
111,7735,18041,363,28
112,6883,18041,363,28
113,6030,18041,364,28
114,5179,18041,364,28
115,4326,18041,363,28
116,3589,18008,12,9
117,18135,18002,19,31
118,17282,18002,20,31
119,16430,18002,20,31
120,15578,18002,19,31
121,14725,18002,20,31
122,13873,18002,20,31
123,13020,18002,20,31
124,12168,18002,20,31
125,11316,18002,19,31
126,10463,18002,20,31
127,9611,18002,20,31
128,8759,18002,19,31
129,7906,18002,20,31
130,7054,18002,20,31
131,6201,18002,20,31
132,5350,18002,20,31
133,4497,18002,19,31
134,3410,17984,427,85
135,14326,17983,144,69
136,14492,17981,44,70
137,14537,17968,380,101
138,14384,17939,20,30
139,14364,17939,12,29
140,14328,17939,19,30
141,14293,17939,21,29
142,14349,17938,11,31
143,14315,17938,12,31
144,14194,17937,20,30
145,3499,17937,20,30
146,3466,17937,20,30
147,3431,17937,21,29
148,3487,17936,12,31
149,3453,17936,12,31
150,14206,17916,83,118
151,3532,17916,119,72
152,14351,17756,364,25
153,13731,17756,363,25
154,16502,17748,22,30
155,16399,17748,20,30
156,16430,17743,71,40
157,14522,17715,20,31
158,13902,17715,20,31
159,16604,17706,75,76
160,16490,17694,20,29
161,16456,17694,20,30
162,16421,17694,21,29
163,16477,17693,12,31
164,16444,17693,11,31
165,16076,17580,55,27
166,11999,17537,1317,20
167,10264,17537,1317,20
168,8527,17537,1317,20
169,6790,17537,1317,20
170,3825,17537,2628,20
171,12644,17508,30,12
172,10908,17508,30,12
173,9177,17508,30,12
174,7447,17508,30,12
175,5507,17508,30,12
176,4069,17508,30,12
177,13453,17452,8,24
178,14947,17444,31,20
179,13459,17444,29,20
180,3317,17431,7,24
181,16062,17393,20,30
182,16028,17393,20,30
183,15993,17393,21,29
184,15913,17393,11,29
185,16049,17392,12,31
186,16015,17392,12,31
187,15932,17381,54,54
188,16566,17367,20,30
189,16532,17367,20,30
190,16497,17367,21,29
191,16417,17367,11,29
192,16553,17366,12,31
193,16519,17366,12,31
194,16694,17350,56,66
195,3341,17288,12,30
196,14987,17272,25,363
197,13433,17272,25,363
198,16468,17211,8,24
199,16076,17209,55,28
200,16493,17195,12,30
201,12001,17182,1317,19
202,10264,17182,1317,19
203,8527,17182,1317,19
204,6790,17182,1317,19
205,3825,17182,2628,19
206,15354,17162,12,29
207,15526,17161,19,30
208,15506,17161,11,29
209,15469,17161,20,30
210,15434,17161,21,29
211,15490,17160,12,31
212,15457,17160,11,31
213,12644,17152,30,12
214,10908,17152,30,12
215,9177,17152,30,12
216,7447,17152,30,12
217,5507,17152,30,12
218,4069,17152,30,12
219,15373,17149,54,55
220,16081,17096,56,66
221,15975,17092,20,30
222,15941,17092,20,30
223,15906,17092,21,29
224,15445,17092,19,30
225,15411,17092,19,30
226,15376,17092,21,29
227,15962,17091,12,31
228,15929,17091,11,31
229,15432,17091,11,31
230,15398,17091,12,31
231,16590,17074,12,22
232,16537,17074,29,22
233,16523,17074,12,22
234,16510,17068,11,29
235,16827,17067,20,23
236,16570,17067,18,29
237,16614,17066,20,23
